Name,Incumbent,Constituency,Facebook,Twitter
Aljunied GRC,,Aljunied GRC,https://www.facebook.com/aljuniedcommunity,N/A
Mr Chen Show Mao,,Aljunied GRC,https://www.facebook.com/ChenShowMao,N/A
Ms Sylvia Lim,,Aljunied GRC,https://www.facebook.com/sylvialimsweelian,N/A
Mr Low Thia Khiang,,Aljunied GRC,https://www.facebook.com/lowthiakhiang,N/A
Mr Muhamad Faisal Bin Abdul Manap,,Aljunied GRC,https://www.facebook.com/faisalmanap,N/A
Mr Pritam Singh,,Aljunied GRC,https://www.facebook.com/Pritam.Eunos,N/A
Ang Mo Kio GRC,,Ang Mo Kio GRC,https://www.facebook.com/AMKGRC,N/A
Mr Ang Hin Kee,,Ang Mo Kio GRC,https://www.facebook.com/pages/Ang-Hin-Kee/149772861740371,N/A
Mr Inderjit Singh,,Ang Mo Kio GRC,https://www.facebook.com/kbinderjit,N/A
Dr Intan Azura Binte Mokhtar,,Ang Mo Kio GRC,https://www.facebook.com/intan.a.mokhtar,N/A
Mr Lee Hsien Loong,,Ang Mo Kio GRC,https://www.facebook.com/intan.a.mokhtar,N/A
Mr Seng Han Thong,,Ang Mo Kio GRC,https://www.facebook.com/Hanthong,N/A
Mr Yeo Guat Kwang,,Ang Mo Kio GRC,https://www.facebook.com/yeogk,N/A
Bishan-Toa Payoh GRC,,Bishan-Toa Payoh GRC,https://www.facebook.com/BTPGRC,N/A
Mr Hri Kumar Nair,,Bishan-Toa Payoh GRC,https://www.facebook.com/HriKumarNair,N/A
Dr Ng Eng Hen,,Bishan-Toa Payoh GRC,https://www.facebook.com/ngenghen.defenceminister,N/A
Mrs Josephine Teo,,Bishan-Toa Payoh GRC,https://www.facebook.com/Josephine.LM.Teo,N/A
Mr Wong Kan Seng,,Bishan-Toa Payoh GRC,https://www.facebook.com/wks.sg,N/A
Mr Zainudin Nordin,,Bishan-Toa Payoh GRC,https://www.facebook.com/zainudin.nordin.page,N/A
Dr Teo Ho Pin,,Bukit Panjang,https://www.facebook.com/TeoHoPin,N/A
Choa Chu Kang GRC,,Chua Chu Kang GRC,https://www.facebook.com/cckgrcpage,N/A
Mr Gan Kim Yong,,Chua Chu Kang GRC,https://www.facebook.com/GanKimYong,N/A
Ms Low Yen Ling,,Chua Chu Kang GRC,https://www.facebook.com/pages/Low-Yen-Ling/175538252495908,N/A
Mr Alex Yam Ziming,,Chua Chu Kang GRC,https://www.facebook.com/zayam,N/A
Mr Alvin Yeo,,Chua Chu Kang GRC,N/A,N/A
Mr Zaqy Mohamad,,Chua Chu Kang GRC,https://www.facebook.com/zaqym,N/A
Mr Lee Yi Shyan,,East Coast GRC,https://www.facebook.com/LeeYiShyanPage,N/A
Mr Raymond Lim Siang Keat,,East Coast GRC,https://www.facebook.com/Raymond.Lim.Home.Page,N/A
